City	Plus Code	Language	Place (Local name)	Output File	Status
Mexico City	C9JX+5W	es	Palacio Nacional	samples/C9JX+5W_es.txt	improved
Seoul	8Q98JW3M+8P	ko	경복궁	samples/8Q98JW3M+8P_ko.txt	improved
Paris	8FW4V7MX+7C	fr	Sainte-Chapelle	samples/8FW4V7MX+7C_fr.txt	improved
Cairo	7GWHC22M+5P	ar	أهرامات الجيزة	samples/7GWHC22M+5P_ar.txt	improved
Istanbul	8GHC9H6M+7P	tr	Ayasofya	samples/8GHC9H6M+7P_tr.txt	improved
Amsterdam	9F4698XM+5P	nl	Rijksmuseum	samples/9F4698XM+5P_nl.txt	pending
Barcelona	8FH48X3M+R7	es	Sagrada Família	samples/8FH48X3M+R7_es.txt	pending
New York	87G8P2JX+4Q	en	Statue of Liberty	samples/87G8P2JX+4Q_en.txt	pending
London	9C3XGVJJ+6Q	en	Big Ben / Elizabeth Tower	samples/9C3XGVJJ+6Q_en.txt	pending
Singapore	6PH58P3Q+7M	en	Marina Bay Sands	samples/6PH58P3Q+7M_en.txt	pending
Santorini	8G85JF4M+8Q	el	Οία	samples/8G85JF4M+8Q_el.txt	pending
Xi'An	8P6R97MH+J9	zh	兵马俑（秦始皇陵兵马俑博物馆）	samples/8P6R97MH+J9_zh.txt	improved
Xi'An	8P6R6X97+7M	zh	大雁塔	samples/8P6R6X97+7M_zh.txt	improved
Xi'An	8P6R7W2W+QW	zh	西安城墙（永宁门）	samples/8P6R7W2W+QW_zh.txt	improved
Xi'An	8P6R6X6F+WV	zh	大唐芙蓉园	samples/8P6R6X6F+WV_zh.txt	improved
Xi'An	8P6R7XM8+CM	zh	大明宫国家遗址公园	samples/8P6R7XM8+CM_zh.txt	improved
Xi'An	8P6R7W5W+QR	zh	钟楼	samples/8P6R7W5W+QR_zh.txt	improved
Xi'An	8P6R6WQR+2Q	zh	鼓楼	samples/8P6R6WQR+2Q_zh.txt	improved
Xi'An	8P6R7W5V+WX	zh	回民街	samples/8P6R7W5V+WX_zh.txt	improved
Xi'An	8P6R9667+M6	zh	华清池	samples/8P6R9667+M6_zh.txt	improved
Xi'An	8P6R6XF4+C4	zh	陕西历史博物馆	samples/8P6R6XF4+C4_zh.txt	improved
Sydney	4RRH46H4+8M	en	Queen Victoria Building (QVB)	samples/4RRH46H4+8M_en.txt	improved
Sydney	4RRH4678+GR	en	Surry Hills Cat Crossing	samples/4RRH4678+GR_en.txt	improved
Sydney	4RRH46X6+38	en	Harbour Bridge	samples/4RRH46X6+38_en.txt	improved
Sydney	4RRH454R+MQ	en	Carriageworks	samples/4RRH454R+MQ_en.txt	improved
Sydney	4RRH475G+9JG	en	Bondi Beach	samples/4RRH475G+9JG_en.txt	improved
Sydney	4RRH46V8+74	en	Sydney Opera House	samples/4RRH46V8+74_en.txt	improved
Sydney	4RRH46P8+8J	en	Royal Botanic Garden	samples/4RRH46P8+8J_en.txt	improved
Sydney	4RRH46R5+VC	en	The Rocks Market	samples/4RRH46R5+VC_en.txt	improved
Sydney	4RRH46H6+9J	en	Hyde Park	samples/4RRH46H6+9J_en.txt	improved
Prague	9F2P3CGJ+8Q	cs	Pražský hrad	samples/9F2P3CGJ+8Q_cs.txt	improved
Prague	9F2P3C9J+5M	cs	Karlův most	samples/9F2P3C9J+5M_cs.txt	improved
Prague	9F2P3CCJ+7P	cs	Staroměstské náměstí	samples/9F2P3CCJ+7P_cs.txt	improved
Prague	9F2P3CGJ+9R	cs	Katedrála svatého Víta	samples/9F2P3CGJ+9R_cs.txt	improved
Amsterdam	9F4698WM+4R	nl	Van Gogh Museum	samples/9F4698WM+4R_nl.txt	pending
Amsterdam	9F469C3P+8M	nl	Anne Frank Huis	samples/9F469C3P+8M_nl.txt	pending
Amsterdam	9F469C4P+5M	nl	Grachtengordel	samples/9F469C4P+5M_nl.txt	pending
Barcelona	8FH4C2M8+5Q	es	Park Güell	samples/8FH4C2M8+5Q_es.txt	pending
Barcelona	8FH48X5P+6M	es	Casa Batlló	samples/8FH48X5P+6M_es.txt	pending
Barcelona	8FH48W3M+8P	es	Barri Gòtic	samples/8FH48W3M+8P_es.txt	pending
Kyoto	8Q6R5M5H+7P	ja	伏見稲荷大社	samples/8Q6R5M5H+7P_ja.txt	pending
Kyoto	8Q6R5R3G+8M	ja	金閣寺	samples/8Q6R5R3G+8M_ja.txt	pending
Kyoto	8Q6R5M8J+6Q	ja	清水寺	samples/8Q6R5M8J+6Q_ja.txt	pending
Kyoto	8Q6R5J2F+5R	ja	嵐山竹林	samples/8Q6R5J2F+5R_ja.txt	pending
Kyoto	8Q6R5M7J+7P	ja	祇園	samples/8Q6R5M7J+7P_ja.txt	pending
Mumbai	7JFJ3RGH+6M	hi	गेटवे ऑफ इंडिया	samples/7JFJ3RGH+6M_hi.txt	pending
Mumbai	7JFJ3RMH+7P	hi	छत्रपती शिवाजी टर्मिनस	samples/7JFJ3RMH+7P_hi.txt	pending
Mumbai	7JFJ3QMH+8R	hi	मरीन ड्राइव	samples/7JFJ3QMH+8R_hi.txt	pending

